mode,test,rep,metric,value
direct,tput1,1,elapsed_s,5.00743
direct,tput1,1,sys_cpu_s,13.71
direct,tput1,1,lb_cpu_s,0
direct,tput1,1,gbps,17.1786926177873
direct,tput1,1,retrans,762
direct,tput4,1,elapsed_s,5.01068
direct,tput4,1,sys_cpu_s,43.85
direct,tput4,1,lb_cpu_s,0
direct,tput4,1,gbps,39.2738371288354
direct,tput4,1,retrans,9706
direct,cps1,1,elapsed_s,5.01313
direct,cps1,1,sys_cpu_s,8.69
direct,cps1,1,lb_cpu_s,0
direct,cps1,1,conn_per_s,25969
direct,cps1,1,errors,0
direct,cps1,1,p50_us,28
direct,cps1,1,p99_us,74
direct,cps64,1,elapsed_s,5.04794
direct,cps64,1,sys_cpu_s,22.63
direct,cps64,1,lb_cpu_s,0
direct,cps64,1,conn_per_s,102537
direct,cps64,1,errors,0
direct,cps64,1,p50_us,545
direct,cps64,1,p99_us,1085
proxy,tput1,1,elapsed_s,5.08865
proxy,tput1,1,sys_cpu_s,16.83
proxy,tput1,1,lb_cpu_s,3.71
proxy,tput1,1,gbps,11.547521727702943
proxy,tput1,1,retrans,211
proxy,tput4,1,elapsed_s,5.04883
proxy,tput4,1,sys_cpu_s,22.15
proxy,tput4,1,lb_cpu_s,3.67
proxy,tput4,1,gbps,14.534072772426263
proxy,tput4,1,retrans,0
proxy,cps1,1,elapsed_s,5.0114
proxy,cps1,1,sys_cpu_s,11.85
proxy,cps1,1,lb_cpu_s,2.27
proxy,cps1,1,conn_per_s,16719
proxy,cps1,1,errors,0
proxy,cps1,1,p50_us,51
proxy,cps1,1,p99_us,113
proxy,cps64,1,elapsed_s,5.02542
proxy,cps64,1,sys_cpu_s,26.93
proxy,cps64,1,lb_cpu_s,3.99
proxy,cps64,1,conn_per_s,53908
proxy,cps64,1,errors,0
proxy,cps64,1,p50_us,1129
proxy,cps64,1,p99_us,1997
raw,tput1,1,elapsed_s,5.00878
raw,tput1,1,sys_cpu_s,15.98
raw,tput1,1,lb_cpu_s,3.33
raw,tput1,1,gbps,6.7509886859334785
raw,tput1,1,retrans,16834
raw,tput4,1,elapsed_s,5.00988
raw,tput4,1,sys_cpu_s,17.38
raw,tput4,1,lb_cpu_s,3.46
raw,tput4,1,gbps,6.24829556449307
raw,tput4,1,retrans,19310
raw,cps1,1,elapsed_s,5.00997
raw,cps1,1,sys_cpu_s,9.99
raw,cps1,1,lb_cpu_s,1.87
raw,cps1,1,conn_per_s,17584
raw,cps1,1,errors,0
raw,cps1,1,p50_us,45
raw,cps1,1,p99_us,186
raw,cps64,1,elapsed_s,5.03395
raw,cps64,1,sys_cpu_s,26.46
raw,cps64,1,lb_cpu_s,3.34
raw,cps64,1,conn_per_s,70513
